,rad_pos1_last_gold,rad_pos2_last_gold,rad_pos3_last_gold,rad_pos4_last_gold,rad_pos5_last_gold,dire_pos1_last_gold,dire_pos2_last_gold,dire_pos3_last_gold,dire_pos4_last_gold,dire_pos5_last_gold,pos1_diff,pos2_diff,pos3_diff,pos4_diff,pos5_diff,team_diff,winner,rad_pos1_last_gold,dire_pos1_last_gold,rad_pos2_last_gold,dire_pos2_last_gold,rad_pos3_last_gold,dire_pos3_last_gold,rad_pos4_last_gold,dire_pos4_last_gold,rad_pos5_last_gold,dire_pos5_last_gold
99,5918,6935,5693,2522,2324,5819,5796,3625,5225,2250,99,1139,2068,-2703,74,677,dire,5920.0,5753.0,6631.0,5900.0,5859.0,3494.0,2451.0,5231.0,2325.0,2470.0
100,7443,5946,5156,3780,4147,5427,5383,5121,3295,2917,2016,563,35,485,1230,4329,dire,7556.0,5531.0,5832.0,5542.0,5281.0,4923.0,4096.0,3227.0,4433.0,2929.0
101,7570,5582,5370,3236,3821,6038,7147,6277,4048,2506,1532,-1565,-907,-812,1315,-437,dire,7019.0,6070.0,5486.0,7340.0,5206.0,6233.0,3237.0,3813.0,3757.0,2746.0
102,6720,5175,5727,2456,2846,6036,5290,4741,3695,3760,684,-115,986,-1239,-914,-598,dire,6453.0,5940.0,5119.0,5321.0,6019.0,4773.0,2384.0,3892.0,2841.0,3949.0
103,9633,9862,8753,5208,4617,9541,9861,7895,4231,5345,92,1,858,977,-728,1200,radiant,9619.0,9307.0,9683.0,9619.0,8731.0,7746.0,5007.0,4460.0,4654.0,5268.0
104,8805,6498,6651,2949,3744,6214,6508,7065,3811,2539,2591,-10,-414,-862,1205,2510,radiant,8537.0,6050.0,6292.0,6322.0,6756.0,7015.0,3011.0,4010.0,3669.0,2713.0
105,8044,5985,6640,4089,2972,6222,4172,5830,4813,2772,1822,1813,810,-724,200,3921,radiant,7954.0,5733.0,6155.0,4115.0,6733.0,5908.0,4250.0,4726.0,3164.0,2998.0
106,6304,4667,4834,3177,2662,6616,5671,6758,6807,3707,-312,-1004,-1924,-3630,-1045,-7915,dire,5568.0,6445.0,4153.0,5544.0,4618.0,7048.0,2533.0,6736.0,2480.0,3662.0
107,7532,6494,4870,4304,2470,5456,6256,5798,3978,3554,2076,238,-928,326,-1084,628,radiant,7130.0,5483.0,6502.0,6341.0,4481.0,5564.0,4038.0,4165.0,2514.0,3758.0
108,5948,6896,6295,3200,4050,7067,6336,4952,3087,2285,-1119,560,1343,113,1765,2662,radiant,5835.0,6769.0,6708.0,6568.0,6228.0,5147.0,3275.0,2973.0,3806.0,2451.0
109,7626,6950,5420,4225,3724,8325,6483,5212,3542,3131,-699,467,208,683,593,1252,radiant,7473.0,8127.0,6712.0,6560.0,5448.0,5129.0,4536.0,3803.0,3726.0,3113.0
110,5795,5788,4871,3397,2799,6826,6336,5171,3668,3336,-1031,-548,-300,-271,-537,-2687,dire,5619.0,7264.0,5789.0,6111.0,4951.0,5283.0,3450.0,3950.0,2845.0,3565.0
111,6845,6792,5567,4412,4344,5957,5694,5510,3476,3107,888,1098,57,936,1237,4216,radiant,6840.0,6047.0,6644.0,4540.0,5735.0,4846.0,4316.0,2951.0,4353.0,2516.0
112,6823,6896,7250,2272,2058,8248,7208,6540,3258,2032,-1425,-312,710,-986,26,-1987,dire,6778.0,8038.0,6927.0,7163.0,7315.0,6445.0,2194.0,3305.0,2222.0,2237.0
113,7369,6691,3047,5238,2442,7988,7195,4603,3070,2602,-619,-504,-1556,2168,-160,-671,dire,7109.0,8030.0,6594.0,6911.0,3114.0,4158.0,5500.0,3257.0,2562.0,2820.0
114,5272,5356,4387,2995,2062,8666,7721,6808,5039,4543,-3394,-2365,-2421,-2044,-2481,-12705,dire,5548.0,8092.0,5116.0,7825.0,4652.0,6536.0,3231.0,4528.0,2251.0,4436.0
115,6354,4960,5136,2063,2458,8012,7352,5431,2195,2311,-1658,-2392,-295,-132,147,-4330,dire,6261.0,7837.0,4929.0,7062.0,5293.0,5332.0,2146.0,2404.0,2661.0,2533.0
116,3897,4462,3649,3608,2098,9284,7183,7293,5107,4242,-5387,-2721,-3644,-1499,-2144,-15395,dire,4173.0,8548.0,4503.0,7221.0,3622.0,7327.0,3437.0,4948.0,2023.0,3651.0
117,5283,6090,4383,2364,2416,6447,7218,6472,3316,2770,-1164,-1128,-2089,-952,-354,-5687,radiant,5001.0,6290.0,5930.0,7276.0,4508.0,6346.0,2594.0,3259.0,2482.0,2757.0
118,4700,4726,4984,2874,2791,6076,6915,5639,3519,2902,-1376,-2189,-655,-645,-111,-4976,dire,4486.0,6102.0,4978.0,6758.0,5175.0,5666.0,3111.0,3485.0,2914.0,3002.0
